Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-01-02,72.53851318359375,28.68400001525879,54.13107681274414,72.59889150198023,28.713333129882812,54.222691266423105,71.29230380764884,28.11400032043457,53.6271740178014,71.54588979671196,28.299999237060547,53.6271740178014,135480400,142981500,12456400
2020-01-03,71.83329010009766,29.534000396728516,53.69588851928711,72.59405542623057,30.266666412353516,54.489913427096155,71.60868452797844,29.128000259399414,53.5660974985205,71.76566667933918,29.366666793823242,54.46700398967244,146322800,266677500,17386900
2020-01-06,72.40567016601562,30.1026668548584,54.10816955566406,72.4443131708714,30.104000091552734,54.482275474490685,70.70300468370534,29.333332061767578,53.61953975252371,70.95418053006813,29.364667892456055,53.68825058815592,118387200,151995000,20081900
2020-01-07,72.06514739990234,31.270666122436523,53.665348052978516,72.67134068922641,31.441999435424805,53.84094629751282,71.84536944211234,30.224000930786133,53.06983083251112,72.41533721540509,30.760000228881836,53.825679164263825,108872000,268231500,17387700
2020-01-08,73.22439575195312,32.80933380126953,52.856056213378906,73.5262872851597,33.232666015625,53.66534825189307,71.76807129058055,31.215333938598633,52.810243163608405,71.76807129058055,31.579999923706055,53.52792075243531,132079200,467164500,15137700
2020-01-09,74.77975463867188,32.089332580566406,53.260711669921875,74.97296230565743,33.253334045410156,53.36759909678103,73.9513658951312,31.524667739868164,52.39796994965145,74.20253438813242,33.13999938964844,52.787348904597145,170108400,426606000,14811800
2020-01-10,74.94879913330078,31.876667022705078,52.7873420715332,75.51394659034878,32.3293342590332,53.41339941563725,74.44645484641248,31.579999923706055,52.77207493749868,75.01401242394427,32.11933135986328,53.3904958021219,140644800,194392500,11995600
2020-01-13,76.55003356933594,34.990665435791016,53.29123306274414,76.5766038580251,35.04199981689453,53.344676757416075,75.14684225138329,32.79999923706055,52.764426768888015,75.2651887494365,32.900001525878906,52.83313759421228,121532000,397764000,9953900
2020-01-14,75.51637268066406,35.861331939697266,52.833133697509766,76.69737618985954,36.49399948120117,53.123261582838374,75.39320591637785,34.99333190917969,52.596455327836786,76.48726080979424,36.284000396728516,52.97056116294821,161954400,434943000,16261000
2020-01-15,75.19274139404297,34.56666564941406,52.74916076660156,76.19743749233605,35.85599899291992,53.13090315741475,74.76043057245047,34.452667236328125,52.59646614024694,75.31591552157606,35.31733322143555,52.833144558574595,121923600,260532000,11390300
2020-01-16,76.13463592529297,34.232666015625,52.543033599853516,76.24573732895618,34.297332763671875,53.12328378812722,75.37387064834499,32.81133270263672,52.52776646394562,75.73614052978684,32.91666793823242,52.9095089358495,108829200,326050500,13340300
2020-01-17,76.97752380371094,34.03333282470703,52.34452819824219,76.97993392443253,34.37799835205078,52.74154364853848,76.07667669301796,33.54399871826172,52.13838981726658,76.38339587903954,33.840667724609375,52.489592207957536,137816400,204436500,18144100
2020-01-21,76.45587158203125,36.47999954223633,51.59630584716797,77.04757477909159,36.571998596191406,52.237630303900815,76.31820722415463,35.227333068847656,51.54286214244023,76.60560865744733,35.349998474121094,52.20709021192397,110843200,267052500,17982600
2020-01-22,76.72876739501953,37.97066879272461,51.29853820800781,77.28182746630861,39.633331298828125,51.68791120613521,76.63457368368562,37.27333450317383,51.15347425286667,76.94129287751667,38.125999450683594,51.5810238154815,101832400,470535000,17033100
2020-01-23,77.0982894897461,38.14666748046875,50.977867126464844,77.17798563171488,38.79999923706055,51.10002746549201,76.23366779231166,37.040000915527344,50.428163075619324,76.78190767247501,37.616668701171875,50.93205991179244,104472000,294765000,19605900
2020-01-24,76.87609100341797,37.654666900634766,50.634307861328125,78.08848500678306,38.25733184814453,50.909162834468745,76.68529344990502,36.95066833496094,50.42053306553571,77.34462735281411,38.04199981689453,50.802275436572536,146537600,215304000,18238600
2020-01-27,74.61552429199219,37.201332092285156,49.42800521850586,75.29658608064733,37.62933349609375,50.183859378177495,73.63256355928529,35.95199966430664,49.39746512696012,74.8836004716033,36.132667541503906,49.94717512492972,161940000,204121500,21231000
2020-01-28,76.72634887695312,37.793331146240234,49.359291076660156,76.89782122944564,38.45399856567383,49.77920420121581,75.39802593452413,37.2053337097168,49.34401811944637,75.49704725649863,37.89933395385742,49.71049336853318,162234000,176827500,19664700
2020-01-29,78.33241271972656,38.732666015625,48.94701385498047,79.1801266517597,39.31999969482422,49.725765833531284,77.61753550777614,37.82866668701172,48.78668273660022,78.35898301190313,38.37933349609375,49.649418514054084,216229200,267022500,14202800
2020-01-30,78.21890258789062,42.72066879272461,49.46617889404297,78.27203580279424,43.391998291015625,49.53488972730427,76.9823558087521,41.20000076293945,48.42783914196657,77.4146666313588,42.16133117675781,48.69505764619362,126743200,435085500,18544700
2020-01-31,74.75077819824219,43.371334075927734,47.42767333984375,77.93150399168975,43.53333282470703,48.2522382936497,74.4561316996704,42.167999267578125,47.22916858011081,77.50885574859744,42.66666793823242,48.2522382936497,199588400,235789500,34282900
2020-02-03,74.54547119140625,52.0,46.36643981933594,75.71197679824171,52.409332275390625,46.89324337675201,72.99012546869326,44.90133285522461,46.0915847763488,73.49246972211677,44.91266632080078,46.86270619278092,173788400,705975000,27389300
